1000,Matematica,Licenta
999,Matematica,Licenta
998,Matematica,Licenta
997,Informatica,Licenta
996,Informatica,Masterat
995,Matematica,Masterat
994,Informatica,Masterat
993,Matematica,Masterat
992,Informatica,Licenta
991,Informatica,Licenta
990,Informatica,Masterat
989,Matematica,Licenta
988,Matematica,Licenta
987,Informatica,Licenta
986,Matematica,Masterat
985,Informatica,Licenta
984,Informatica,Masterat
983,Matematica,Licenta
982,Matematica,Licenta
981,Matematica,Masterat
980,Matematica,Masterat
979,Informatica,Masterat
978,Matematica,Licenta
977,Matematica,Masterat
976,Informatica,Licenta
975,Informatica,Masterat
974,Informatica,Masterat
973,Matematica,Masterat
972,Informatica,Licenta
971,Matematica,Licenta
970,Matematica,Masterat
969,Matematica,Masterat
968,Matematica,Masterat
967,Matematica,Licenta
966,Informatica,Masterat
965,Informatica,Licenta
964,Matematica,Licenta
963,Informatica,Licenta
962,Informatica,Licenta
961,Matematica,Masterat
960,Informatica,Masterat
959,Matematica,Licenta
958,Informatica,Licenta
957,Informatica,Masterat
956,Informatica,Masterat
955,Matematica,Masterat
954,Informatica,Masterat
953,Informatica,Masterat
952,Matematica,Masterat
951,Informatica,Masterat
950,Informatica,Licenta
949,Informatica,Licenta
948,Informatica,Licenta
947,Matematica,Licenta
946,Informatica,Licenta
945,Matematica,Masterat
944,Matematica,Masterat
943,Informatica,Licenta
942,Informatica,Masterat
941,Informatica,Licenta
940,Informatica,Masterat
939,Matematica,Masterat
938,Informatica,Licenta
937,Matematica,Masterat
936,Informatica,Licenta
935,Informatica,Licenta
934,Informatica,Licenta
933,Matematica,Licenta
932,Matematica,Licenta
931,Informatica,Masterat
930,Informatica,Licenta
929,Matematica,Licenta
928,Matematica,Masterat
927,Informatica,Licenta
926,Informatica,Licenta
925,Matematica,Licenta
924,Matematica,Licenta
923,Matematica,Licenta
922,Informatica,Licenta
921,Matematica,Masterat
920,Matematica,Masterat
919,Informatica,Licenta
918,Informatica,Licenta
917,Matematica,Masterat
916,Matematica,Masterat
915,Matematica,Masterat
914,Matematica,Masterat
913,Matematica,Licenta
912,Informatica,Masterat
911,Matematica,Licenta
910,Informatica,Masterat
909,Informatica,Licenta
908,Matematica,Licenta
907,Informatica,Masterat
906,Informatica,Masterat
905,Matematica,Licenta
904,Informatica,Masterat
903,Informatica,Licenta
902,Informatica,Licenta
901,Matematica,Licenta
900,Matematica,Masterat
899,Matematica,Licenta
898,Informatica,Masterat
897,Informatica,Masterat
896,Matematica,Masterat
895,Informatica,Licenta
894,Matematica,Licenta
893,Informatica,Licenta
892,Matematica,Masterat
891,Matematica,Masterat
890,Informatica,Licenta
889,Matematica,Licenta
888,Matematica,Licenta
887,Matematica,Masterat
886,Matematica,Licenta
885,Matematica,Licenta
884,Informatica,Licenta
883,Matematica,Licenta
882,Matematica,Masterat
881,Matematica,Masterat
880,Informatica,Licenta
879,Matematica,Licenta
878,Informatica,Masterat
877,Informatica,Masterat
876,Informatica,Masterat
875,Matematica,Licenta
874,Matematica,Licenta
873,Informatica,Licenta
872,Informatica,Masterat
871,Matematica,Masterat
870,Informatica,Licenta
869,Matematica,Licenta
868,Matematica,Masterat
867,Matematica,Masterat
866,Matematica,Masterat
865,Matematica,Masterat
864,Informatica,Masterat
863,Matematica,Masterat
862,Informatica,Licenta
861,Informatica,Licenta
860,Matematica,Licenta
859,Matematica,Licenta
858,Matematica,Licenta
857,Informatica,Masterat
856,Matematica,Licenta
855,Matematica,Masterat
854,Informatica,Licenta
853,Matematica,Licenta
852,Matematica,Masterat
851,Informatica,Licenta
850,Matematica,Masterat
849,Informatica,Masterat
848,Matematica,Licenta
847,Informatica,Masterat
846,Informatica,Licenta
845,Informatica,Licenta
844,Matematica,Masterat
843,Matematica,Licenta
842,Matematica,Masterat
841,Matematica,Licenta
840,Informatica,Licenta
839,Informatica,Licenta
838,Matematica,Masterat
837,Informatica,Masterat
836,Matematica,Masterat
835,Informatica,Licenta
834,Informatica,Masterat
833,Matematica,Masterat
832,Matematica,Licenta
831,Matematica,Licenta
830,Informatica,Masterat
829,Informatica,Licenta
828,Matematica,Licenta
827,Matematica,Licenta
826,Matematica,Licenta
825,Informatica,Masterat
824,Matematica,Licenta
