634,Informatica,Licenta
18,Matematica,Licenta
42,Matematica,Masterat
56,Informatica,Masterat
572,Matematica,Licenta
649,Informatica,Masterat
807,Matematica,Licenta
98,Matematica,Masterat
220,Matematica,Masterat
918,Informatica,Licenta
106,Matematica,Licenta
270,Informatica,Licenta
219,Matematica,Licenta
92,Informatica,Masterat
145,Matematica,Licenta
366,Matematica,Licenta
259,Matematica,Licenta
605,Matematica,Masterat
925,Matematica,Licenta
37,Informatica,Masterat
21,Matematica,Licenta
861,Informatica,Licenta
774,Matematica,Licenta
601,Matematica,Licenta
894,Matematica,Licenta
940,Informatica,Masterat
418,Matematica,Licenta
250,Matematica,Licenta
626,Matematica,Licenta
789,Informatica,Licenta
135,Informatica,Licenta
176,Informatica,Licenta
882,Matematica,Masterat
521,Matematica,Masterat
551,Informatica,Masterat
702,Informatica,Masterat
689,Informatica,Licenta
348,Informatica,Masterat
269,Matematica,Licenta
513,Informatica,Licenta
595,Informatica,Masterat
261,Matematica,Licenta
718,Informatica,Licenta
838,Matematica,Masterat
700,Informatica,Licenta
396,Informatica,Licenta
832,Matematica,Licenta
813,Informatica,Licenta
71,Matematica,Masterat
268,Informatica,Licenta
402,Informatica,Masterat
468,Informatica,Masterat
464,Matematica,Licenta
211,Informatica,Licenta
686,Matematica,Masterat
232,Matematica,Licenta
472,Matematica,Licenta
150,Matematica,Masterat
515,Matematica,Masterat
142,Matematica,Licenta
782,Informatica,Masterat
67,Informatica,Masterat
510,Informatica,Masterat
60,Informatica,Licenta
144,Informatica,Licenta
948,Informatica,Licenta
229,Matematica,Licenta
406,Matematica,Masterat
192,Matematica,Masterat
317,Matematica,Masterat
458,Matematica,Licenta
447,Informatica,Licenta
296,Matematica,Masterat
658,Matematica,Masterat
251,Matematica,Licenta
972,Informatica,Licenta
610,Matematica,Licenta
891,Matematica,Masterat
405,Informatica,Masterat
148,Matematica,Licenta
276,Informatica,Masterat
425,Matematica,Masterat
131,Informatica,Masterat
454,Matematica,Masterat
910,Informatica,Masterat
382,Matematica,Masterat
186,Informatica,Licenta
335,Matematica,Masterat
288,Matematica,Masterat
29,Matematica,Masterat
857,Informatica,Masterat
589,Informatica,Masterat
110,Matematica,Licenta
574,Matematica,Licenta
410,Matematica,Licenta
947,Matematica,Licenta
532,Informatica,Masterat
291,Matematica,Licenta
945,Matematica,Masterat
413,Matematica,Licenta
152,Matematica,Masterat
136,Informatica,Licenta
530,Matematica,Licenta
340,Informatica,Masterat
916,Matematica,Masterat
347,Informatica,Masterat
738,Matematica,Masterat
834,Informatica,Masterat
903,Informatica,Licenta
419,Matematica,Masterat
334,Matematica,Masterat
439,Matematica,Licenta
724,Matematica,Licenta
883,Matematica,Licenta
444,Matematica,Licenta
372,Informatica,Masterat
243,Informatica,Licenta
602,Informatica,Masterat
871,Matematica,Masterat
641,Matematica,Masterat
97,Matematica,Licenta
977,Matematica,Masterat
671,Matematica,Masterat
130,Informatica,Licenta
